"Date","Number of unemployed in Iceland"
"1980-01-15",0.641
"1980-02-15",0.395
"1980-03-15",0.285
"1980-04-15",0.28
"1980-05-15",0.153
"1980-06-15",0.151
"1980-07-15",0.295
"1980-08-15",0.386
"1980-09-15",0.166
"1980-10-15",0.213
"1980-11-15",0.262
"1980-12-15",0.552
"1981-01-15",0.809
"1981-02-15",0.627
"1981-03-15",0.527
"1981-04-15",0.333
"1981-05-15",0.233
"1981-06-15",0.177
"1981-07-15",0.153
"1981-08-15",0.156
"1981-09-15",0.197
"1981-10-15",0.186
"1981-11-15",0.378
"1981-12-15",0.678
"1982-01-15",2.989
"1982-02-15",0.856
"1982-03-15",0.562
"1982-04-15",0.341
"1982-05-15",0.298
"1982-06-15",0.386
"1982-07-15",0.27
"1982-08-15",0.261
"1982-09-15",0.207
"1982-10-15",0.226
"1982-11-15",0.499
"1982-12-15",1.249
"1983-01-15",2.081
"1983-02-15",1.496
"1983-03-15",1.258
"1983-04-15",0.869
"1983-05-15",0.722
"1983-06-15",0.763
"1983-07-15",0.557
"1983-08-15",0.565
"1983-09-15",0.448
"1983-10-15",0.585
"1983-11-15",1.102
"1983-12-15",1.945
"1984-01-15",3.355
"1984-02-15",2.277
"1984-03-15",1.563
"1984-04-15",1.002
"1984-05-15",0.918
"1984-06-15",0.702
"1984-07-15",0.618
"1984-08-15",0.673
"1984-09-15",0.449
"1984-10-15",0.95
"1984-11-15",1.118
"1984-12-15",1.597
"1985-01-15",2.198
"1985-02-15",1.176
"1985-03-15",1.784
"1985-04-15",0.708
"1985-05-15",0.615
"1985-06-15",0.522
"1985-07-15",0.478
"1985-08-15",0.459
"1985-09-15",0.336
"1985-10-15",0.391
"1985-11-15",0.804
"1985-12-15",1.543
"1986-01-15",1.944
"1986-02-15",0.91
"1986-03-15",0.683
"1986-04-15",0.704
"1986-05-15",0.621
"1986-06-15",0.521
"1986-07-15",0.49
"1986-08-15",0.358
"1986-09-15",0.243
"1986-10-15",0.286
"1986-11-15",0.391
"1986-12-15",0.798
"1987-01-15",1.823
"1987-02-15",0.484
"1987-03-15",0.448
"1987-04-15",0.429
"1987-05-15",0.304
"1987-06-15",0.302
"1987-07-15",0.297
"1987-08-15",0.247
"1987-09-15",0.151
"1987-10-15",0.161
"1987-11-15",0.209
"1987-12-15",0.499
"1988-01-15",0.832
"1988-02-15",0.641
"1988-03-15",0.644
"1988-04-15",0.508
"1988-05-15",0.419
"1988-06-15",0.425
"1988-07-15",0.378
"1988-08-15",0.352
"1988-09-15",0.396
"1988-10-15",0.549
"1988-11-15",0.914
"1988-12-15",1.641
"1989-01-15",2.401
"1989-02-15",2.125
"1989-03-15",2.016
"1989-04-15",1.44
"1989-05-15",1.391
"1989-06-15",1.444
"1989-07-15",1.324
"1989-08-15",1.414
"1989-09-15",1.166
"1989-10-15",1.444
"1989-11-15",1.736
"1989-12-15",2.094
"1990-01-15",3.172
"1990-02-15",2.41
"1990-03-15",2.339
"1990-04-15",1.901
"1990-05-15",1.742
"1990-06-15",1.6
"1990-07-15",1.5
"1990-08-15",1.497
"1990-09-15",1.015
"1990-10-15",1.171
"1990-11-15",1.283
"1990-12-15",1.76
"1991-01-15",2.626
"1991-02-15",1.793
"1991-03-15",1.498
"1991-04-15",1.411
"1991-05-15",1.172
"1991-06-15",1.046
"1991-07-15",1.241
"1991-08-15",1.098
"1991-09-15",0.924
"1991-10-15",1.275
"1991-11-15",1.618
"1991-12-15",2.403
"1992-01-15",3.299
"1992-02-15",2.851
"1992-03-15",3.13
"1992-04-15",2.976
"1992-05-15",2.516
"1992-06-15",2.662
"1992-07-15",2.742
"1992-08-15",2.528
"1992-09-15",2.739
"1992-10-15",2.968
"1992-11-15",3.428
"1992-12-15",4.805
"1993-01-15",5.1
"1993-02-15",5.005
"1993-03-15",5.402
"1993-04-15",4.626
"1993-05-15",4.047
"1993-06-15",3.794
"1993-07-15",3.265
"1993-08-15",3.284
"1993-09-15",3.531
"1993-10-15",3.707
"1993-11-15",4.797
"1993-12-15",6.303
"1994-01-15",7.476
"1994-02-15",5.931
"1994-03-15",6.265
"1994-04-15",5.548
"1994-05-15",4.836
"1994-06-15",4.178
"1994-07-15",3.244
"1994-08-15",3.657
"1994-09-15",3.344
"1994-10-15",3.568
"1994-11-15",4.376
"1994-12-15",5.626
"1995-01-15",6.774
"1995-02-15",5.755
"1995-03-15",6.465
"1995-04-15",5.547
"1995-05-15",5.232
"1995-06-15",5.144
"1995-07-15",3.945
"1995-08-15",4.37
"1995-09-15",3.681
"1995-10-15",4.093
"1995-11-15",4.495
"1995-12-15",4.902
"1996-01-15",5.956
"1996-02-15",5
"1996-03-15",5.012
"1996-04-15",5.07
"1996-05-15",4.653
"1996-06-15",3.624
"1996-07-15",3.828
"1996-08-15",3.887
"1996-09-15",3.369
"1996-10-15",3.76
"1996-11-15",4
"1996-12-15",4.493
"1997-01-15",5.182
"1997-02-15",4.42
"1997-03-15",4.652
"1997-04-15",4.744
"1997-05-15",4.25
"1997-06-15",3.686
"1997-07-15",3.583
"1997-08-15",3.232
"1997-09-15",3.064
"1997-10-15",3.288
"1997-11-15",3.075
"1997-12-15",3.751
"1998-01-15",3.934
"1998-02-15",3.689
"1998-03-15",3.637
"1998-04-15",3.417
"1998-05-15",2.781
"1998-06-15",2.585
"1998-07-15",2.467
"1998-08-15",2.194
"1998-09-15",2.017
"1998-10-15",2.056
"1998-11-15",2.149
"1998-12-15",2.485
"1999-01-15",2.492
"1999-02-15",2.257
"1999-03-15",2.431
"1999-04-15",2.175
