"Date","Chicago; Precipitation","Chicago; Temperature (max)","Chicago; Temperature (min)","Dallas; Precipitation","Dallas; Temperature (max)","Dallas; Temperature (min)","Detroit; Precipitation","Detroit; Temperature (max)","Detroit; Temperature (min)","Los Angeles; Precipitation","Los Angeles; Temperature (max)","Los Angeles; Temperature (min)","New York; Precipitation","New York; Temperature (max)","New York; Temperature (min)","San Francisco; Precipitation","San Francisco; Temperature (max)","San Francisco; Temperature (min)","San Jose; Precipitation","San Jose; Temperature (max)","San Jose; Temperature (min)","Seattle; Precipitation","Seattle; Temperature (max)","Seattle; Temperature (min)"
"2010-01-01",0.0,0.6,-14.4,0.0,10.6,-2.8,0.0,-2.2,-8.9,0.0,20.6,10.0,0.8,4.4,0.6,0.0,13.9,10.0,0.0,17.2,9.4,10.2,11.1,7.2
"2010-01-02",0.0,-6.7,-17.2,0.0,11.7,-1.1,0.0,-8.9,-15.0,0.0,24.4,12.8,0.5,1.1,-8.3,0.0,12.8,9.4,0.0,14.4,7.2,1.5,8.3,6.1
"2010-01-03",0.0,-10.0,-17.8,0.0,7.8,0.0,0.0,-6.1,-15.6,0.0,26.7,11.1,0.0,-5.6,-8.3,0.0,12.8,7.8,0.0,15.6,3.9,0.8,8.9,3.9
"2010-01-04",0.0,-5.6,-16.7,0.0,2.8,-2.8,0.0,-4.4,-7.2,0.0,23.9,11.7,0.0,-1.1,-7.2,0.0,12.2,7.8,0.0,13.9,5.6,24.9,9.4,6.7
"2010-01-05",0.0,-6.1,-12.2,0.0,5.0,-5.0,0.0,-2.8,-6.1,0.0,24.4,11.1,0.0,-1.1,-6.7,0.0,16.1,5.6,0.0,15.0,3.3,3.6,10.0,6.7
"2010-01-06",0.0,-3.3,-12.2,0.0,9.4,-0.6,0.0,-2.2,-3.3,0.0,22.8,10.6,0.0,1.1,-3.3,0.0,12.2,7.8,0.0,15.0,3.9,0.0,10.0,5.6
"2010-01-07",2.5,-4.4,-8.9,1.3,7.8,-5.0,4.1,-2.8,-5.6,0.0,19.4,8.9,0.0,2.8,-1.1,0.0,11.7,10.0,0.0,14.4,5.0,1.0,8.9,4.4
"2010-01-08",9.7,-1.1,-7.8,0.0,-1.1,-8.3,0.5,-2.2,-7.8,0.0,25.0,10.0,1.3,0.6,-5.0,0.0,12.2,8.3,0.3,14.4,6.7,20.6,7.8,3.9
"2010-01-09",0.0,-3.9,-14.4,0.0,3.3,-10.0,0.0,-3.3,-13.3,0.0,23.9,13.9,0.0,-1.1,-7.8,0.0,12.2,6.7,0.0,12.2,5.6,2.0,12.2,6.1
"2010-01-10",0.0,-3.3,-16.7,0.0,6.7,-7.8,0.0,-2.2,-13.3,0.0,23.3,11.1,0.0,-2.2,-10.0,0.0,11.1,7.2,0.0,13.3,3.9,2.3,12.8,6.7
"2010-01-11",0.0,-6.7,-15.0,0.0,13.3,-2.8,0.8,-5.6,-9.4,0.0,25.0,10.0,0.0,-0.6,-6.1,0.0,13.3,8.3,0.0,13.3,5.6,27.2,13.9,7.2
"2010-01-12",0.3,-2.2,-11.1,0.0,14.4,-2.2,0.0,-2.2,-8.9,0.0,18.9,11.1,0.0,1.7,-4.4,8.9,16.7,11.7,6.6,17.2,11.1,13.5,11.7,8.3
"2010-01-13",0.0,1.7,-6.7,0.0,16.7,2.8,0.0,-0.6,-4.4,3.3,17.2,11.7,0.0,1.7,-4.4,0.3,15.6,10.6,4.6,16.7,9.4,6.9,13.3,7.8
"2010-01-14",0.0,3.3,-5.0,1.0,12.8,10.0,0.0,3.3,-3.9,0.0,21.7,10.0,0.0,5.6,-1.1,0.0,15.0,7.2,0.0,16.1,5.6,7.1,8.9,7.2
"2010-01-15",0.0,5.0,-3.3,5.6,13.9,8.3,0.0,3.3,0.0,0.0,22.8,10.0,0.0,10.0,1.7,0.0,12.2,7.8,0.0,17.2,4.4,10.7,10.6,6.7
"2010-01-16",0.0,1.7,-5.0,1.5,15.0,7.8,0.0,1.1,-1.7,0.0,20.0,11.7,0.0,9.4,3.3,0.0,13.9,7.8,0.0,17.2,5.0,0.5,7.2,2.8
"2010-01-17",0.0,-1.7,-6.7,0.0,17.8,6.1,0.0,0.6,-3.3,6.6,17.2,11.1,14.5,7.8,1.7,2.5,13.3,10.6,3.0,13.3,10.6,3.8,11.1,5.6
"2010-01-18",0.0,3.3,-6.7,0.0,20.0,7.8,0.0,0.0,-5.0,19.1,16.7,11.7,1.3,10.0,2.8,17.5,14.4,10.6,16.5,13.9,10.0,0.0,15.0,9.4
"2010-01-19",0.0,2.2,-5.0,0.0,21.7,13.3,0.0,1.1,-0.6,16.8,15.0,10.0,0.0,8.9,4.4,38.6,14.4,10.0,18.5,14.4,8.9,0.3,15.6,8.9
"2010-01-20",0.0,4.4,-4.4,0.0,21.1,14.4,0.0,0.0,-6.7,28.7,14.4,10.0,0.0,5.0,1.1,30.0,12.8,9.4,32.8,12.8,7.8,0.0,13.9,5.6
"2010-01-21",0.5,1.1,-1.1,0.0,18.3,8.9,0.0,1.7,-7.2,18.5,14.4,10.0,0.0,5.0,-0.6,25.1,10.6,6.1,13.2,10.0,6.1,0.0,13.3,7.2
"2010-01-22",1.5,1.7,-1.1,0.0,24.4,8.3,0.0,3.9,-2.8,12.2,12.2,8.3,0.0,6.7,0.0,7.4,9.4,6.7,6.4,10.6,5.0,0.0,8.9,4.4
"2010-01-23",0.0,2.2,0.0,3.0,17.2,10.6,0.0,2.2,-1.1,0.0,14.4,6.1,0.0,4.4,-2.2,6.1,12.2,7.2,6.4,13.9,4.4,2.3,9.4,4.4
"2010-01-24",7.6,8.3,1.1,0.0,13.9,6.1,4.6,7.8,2.2,0.0,15.6,6.7,0.5,10.0,0.0,0.5,12.2,6.1,0.0,12.2,4.4,9.1,7.8,2.8
"2010-01-25",0.5,8.3,-1.1,0.0,14.4,1.1,1.3,7.2,-1.1,0.0,17.8,6.7,31.8,13.9,9.4,7.1,13.9,10.0,0.5,13.9,9.4,1.5,12.2,5.0
"2010-01-26",0.5,1.1,-7.2,0.0,15.6,1.7,0.0,-0.6,-4.4,4.1,14.4,8.3,0.0,9.4,1.7,3.3,11.7,8.3,1.3,13.9,8.9,0.0,8.9,3.3
"2010-01-27",0.0,-3.3,-12.8,0.0,18.9,8.3,0.0,-2.8,-7.8,0.0,18.9,11.7,0.0,3.9,-0.6,0.0,12.2,6.1,0.0,13.3,7.2,0.0,9.4,1.7
"2010-01-28",0.3,-4.4,-13.9,52.6,14.4,6.1,0.0,-3.3,-12.8,0.0,19.4,7.8,2.3,5.6,-6.7,0.0,13.3,7.8,0.0,15.0,6.7,0.0,12.8,5.0
"2010-01-29",0.0,-8.9,-15.6,18.0,6.1,-1.1,0.0,-6.1,-13.9,0.0,17.8,9.4,0.0,-5.0,-8.9,4.3,15.6,7.8,6.4,16.7,6.7,0.5,13.3,6.7
"2010-01-30",0.3,-6.1,-15.0,0.0,0.0,-2.8,0.0,-6.1,-12.2,0.0,15.0,8.9,0.0,-6.7,-10.6,0.0,14.4,6.7,0.0,15.6,5.0,4.6,8.9,6.1
"2010-01-31",0.0,-4.4,-10.0,0.0,3.9,-1.1,0.0,-2.2,-11.7,0.0,16.7,7.8,0.0,-1.1,-10.0,0.0,12.8,8.3,0.0,16.1,8.3,2.0,9.4,7.2
"2010-02-01",0.0,-0.6,-11.1,0.0,8.3,-0.6,0.0,-2.2,-10.6,0.0,17.8,9.4,0.0,1.7,-3.9,0.0,14.4,8.3,0.0,17.2,5.6,2.0,9.4,4.4
"2010-02-02",2.0,-0.6,-8.3,0.0,11.1,4.4,0.0,-1.7,-7.2,0.0,16.1,10.6,0.8,0.6,-2.8,0.0,13.3,8.3,0.5,15.0,7.8,0.3,12.2,4.4
"2010-02-03",0.0,2.2,-3.9,2.0,7.8,3.3,0.0,1.1,-2.8,0.0,18.3,9.4,1.5,3.9,-1.7,0.0,15.6,6.7,0.0,17.2,6.1,7.9,10.0,5.0
"2010-02-04",0.0,-1.1,-8.3,7.4,6.7,5.6,0.0,0.6,-7.2,0.0,17.2,11.7,0.0,2.8,-2.2,9.9,15.0,10.0,9.7,15.0,9.4,2.0,13.9,5.0
"2010-02-05",0.0,1.1,-3.9,0.3,14.4,3.9,0.0,-0.6,-3.3,35.3,13.3,11.7,0.0,2.2,-1.7,0.0,16.7,8.3,0.3,18.3,9.4,1.8,14.4,7.2
